iter	Logloss
0	0.6855561273
1	0.6785504533
2	0.6716921552
3	0.6655220633
4	0.6597696374
5	0.6544740456
6	0.6495339909
7	0.6449188902
8	0.6405245418
9	0.6366537308
10	0.6330086077
11	0.629349382
12	0.6264544909
13	0.6234653382
14	0.6206181402
15	0.6180954346
16	0.6158460309
17	0.6135010829
18	0.6113097829
19	0.6095266283
20	0.6077013097
21	0.6058503664
22	0.604219711
23	0.6027533759
24	0.6013648876
25	0.5998979652
26	0.5986356357
27	0.5975635543
28	0.5962584196
29	0.5950943053
30	0.5938827205
31	0.5929886986
32	0.5921057704
33	0.5910793237
34	0.5900586121
35	0.5891523903
36	0.5883615416
37	0.587657317
38	0.5867394172
39	0.5860399891
40	0.5853820811
41	0.584722788
42	0.5842202399
43	0.5837090859
44	0.5832028266
45	0.5826651124
46	0.5821373708
47	0.5816406198
48	0.5811642675
49	0.5806922488
50	0.5803187297
51	0.5800118034
52	0.5796186703
53	0.5791646477
54	0.5785536851
55	0.5781203562
56	0.5778190583
57	0.5774653585
58	0.5771339815
59	0.576850043
60	0.5765418184
61	0.5761339627
62	0.5758073347
63	0.5754857245
64	0.574995754
65	0.5745727936
66	0.5742045156
67	0.5739395932
68	0.5737000545
69	0.5733999115
70	0.5729601338
71	0.5726528313
72	0.5724382856
73	0.5720406819
74	0.5718220684
75	0.5715781374
76	0.5712936449
77	0.571073372
78	0.5709461272
79	0.570668107
80	0.570506754
81	0.5701896186
82	0.5699210183
83	0.5696634308
84	0.5694831752
85	0.569248063
86	0.5689132759
87	0.5686156105
88	0.5684030008
89	0.5683014711
90	0.5680710197
91	0.5679386993
92	0.5677414628
93	0.5674826036
94	0.5672434661
95	0.567054377
96	0.566934386
97	0.5667403246
98	0.5664863439
99	0.5662421699
100	0.5660433937
101	0.5659060918
102	0.5656656478
103	0.5655048889
104	0.5652978555
105	0.5651058164
106	0.5649393499
107	0.5647623046
108	0.5645658424
109	0.5644053338
110	0.5642445224
111	0.5641188615
112	0.5639618739
113	0.5637302465
114	0.563595756
115	0.5634576744
116	0.5633169682
117	0.5631623607
118	0.5629625497
119	0.5628824092
120	0.5627453066
121	0.5624968287
122	0.5622772522
123	0.5621844126
124	0.5620155312
125	0.5618264772
126	0.5616656658
127	0.5615388218
128	0.5614027257
129	0.5612743118
130	0.5610743381
131	0.5608716712
