iter	Passed	Remaining
0	14	14864
1	28	14202
2	43	14332
3	58	14451
4	71	14276
5	83	13898
6	96	13626
7	106	13266
8	119	13160
9	132	13073
10	143	12886
11	155	12807
12	166	12674
13	178	12587
14	189	12445
15	201	12366
16	214	12410
17	227	12418
18	242	12500
19	256	12571
20	269	12542
21	282	12537
22	293	12457
23	306	12445
24	317	12397
25	330	12376
26	342	12359
27	356	12359
28	367	12294
29	380	12289
30	395	12359
31	408	12371
32	423	12404
33	437	12433
34	451	12451
35	467	12517
36	481	12530
37	495	12555
38	509	12559
39	523	12573
40	537	12561
41	551	12570
42	564	12567
43	578	12566
44	592	12570
45	607	12599
46	621	12610
47	635	12613
48	649	12612
49	663	12597
50	677	12598
51	692	12616
52	705	12609
53	718	12581
54	731	12571
55	745	12573
56	759	12562
57	773	12557
58	786	12540
59	799	12518
60	810	12483
61	823	12459
62	837	12453
63	852	12462
64	866	12471
65	881	12470
66	894	12460
67	907	12437
68	921	12432
69	934	12416
70	948	12412
71	962	12399
72	974	12376
73	987	12362
74	1001	12350
75	1014	12333
76	1027	12312
77	1039	12286
78	1052	12270
79	1066	12260
80	1080	12255
81	1094	12253
82	1107	12234
83	1120	12213
84	1133	12201
85	1147	12195
86	1160	12175
87	1174	12168
88	1186	12148
89	1199	12125
90	1212	12112
91	1225	12092
92	1238	12075
93	1250	12055
94	1265	12051
95	1279	12048
96	1293	12041
97	1306	12023
98	1319	12005
99	1331	11986
100	1345	11975
101	1357	11954
102	1370	11938
103	1385	11936
104	1398	11916
105	1411	11905
106	1425	11893
107	1437	11873
108	1450	11855
109	1462	11831
110	1476	11822
111	1489	11809
112	1503	11800
113	1517	11790
114	1530	11780
115	1543	11764
116	1556	11747
117	1569	11733
118	1582	11716
119	1596	11706
120	1609	11691
121	1623	11684
122	1637	11676
123	1651	11664
124	1664	11650
125	1676	11626
126	1689	11614
127	1703	11602
128	1718	11602
129	1731	11590
130	1744	11575
131	1757	11553
132	1768	11527
133	1780	11506
134	1792	11485
135	1804	11466
136	1817	11449
137	1830	11436
138	1843	11420
139	1855	11399
140	1867	11374
141	1879	11356
142	1891	11336
143	1906	11332
144	1919	11316
145	1933	11309
146	1946	11297
147	1958	11274
148	1969	11246
149	1980	11225
150	1993	11206
151	2004	11182
152	2017	11168
153	2029	11147
154	2041	11127
155	2052	11105
156	2063	11078
157	2075	11059
158	2086	11036
159	2098	11016
160	2111	11004
161	2124	10990
162	2137	10977
163	2150	10962
164	2161	10939
165	2174	10924
166	2186	10906
167	2198	10886
168	2209	10864
169	2221	10845
170	2233	10829
171	2244	10805
172	2257	10790
173	2269	10774
174	2281	10756
175	2293	10736
176	2305	10720
177	2317	10703
178	2331	10691
179	2344	10680
180	2357	10667
181	2370	10654
182	2382	10638
183	2394	10619
184	2406	10601
185	2418	10583
186	2430	10567
187	2445	10561
188	2458	10547
189	2471	10536
190	2485	10527
191	2499	10519
192	2512	10506
193	2526	10495
194	2540	10487
195	2554	10477
196	2569	10473
197	2583	10462
198	2596	10450
199	2608	10433
200	2619	10414
201	2632	10399
202	2644	10383
203	2656	10366
204	2668	10347
205	2680	10330
206	2692	10314
207	2703	10294
